word	translation	notes	date
haben	to have	für Perfekt mit den meisten Verben	2025-04-09 07:27:00
sein	to be		2025-04-09 07:30:00
werden	to become / will		2025-04-09 07:33:00
schlafen	to sleep	geschlafen	2025-04-09 07:36:00
studieren	to study	studiert	2025-04-09 07:39:00
die Pizza	pizza		2025-04-09 07:42:00
einschlafen	to fall asleep	ist eingeschlafen	2025-04-09 07:45:00
fernsehen	to watch TV	ferngesehen	2025-04-09 07:48:00
einpacken	to pack into	eingepackt	2025-04-09 07:51:00
mitnehmen	to take along / with you	mitgenommen	2025-04-09 07:54:00
die Notizen	notes	willst du meine notizen sehen?	2025-04-09 07:57:00
die Wörter	words	oder die wörter, die ich gelernt hab?	2025-04-09 08:00:00
vor	before / in front of / ago	wo? D wohin? Akk 	2025-04-09 08:03:00
nicht	not		2025-04-09 08:06:00
kein	no / not a / not any	used to negate indefinite nouns	2025-04-09 08:09:00
umziehen	to move (house)	umgezogen	2025-04-09 08:12:00
ziehen	to pull, to move, to draw	gezogen	2025-04-09 08:15:00
von … bis	from … to		2025-04-09 08:18:00
der Geburtstag	birthday		2025-04-09 08:21:00
frei	free		2025-04-09 08:24:00
vershieben	to postpone / to move / to shift	verschoben , ie-o-o ablaut pattern	2025-04-09 08:27:00
der Ablaut	ablaut (vowel gradation)	vowel change in the stem of a word	2025-04-09 08:30:00
die Freizeit	free time		2025-04-09 08:33:00
sport machen	doing sports	max street deutsch	2025-04-09 19:39:00
rummachen	to make out 	fritz - pickup line: Willst du rum machen? -Nein -Dann lass doch rummachen	2025-04-09 19:42:00
wichser	wanker	wixer, someone who jerks off	2025-04-09 19:47:00
stehlen	to steal	theo hat mein Knoblauch gestohlen	2025-04-09 20:09:00
riechen	to smell	BOAH theo das riecht echt gut	2025-04-09 21:41:00
womit	with what		2025-04-10 08:36:00
mit wem	with whom?	personen	2025-04-10 08:39:00
die Konjunktion	conjunction	joining word	2025-04-10 08:42:00
der Hunger	hunger	ich habe großen hunger	2025-04-10 08:45:00
denn	because	coordinating conjuction , no word order change , (ich esse, den ich habe hunger) , warum?	2025-04-10 08:48:00
weil	because	subordinating conjunction , verb goes to the end , (ich esse, weil ich hunger habe) , (weil ich hunger habe, esse ich) 	2025-04-10 08:51:00
dann	then / afterwards	position 1 adverb, so if it comes first, the verb comes right after it (ich esse, dann schlafe ich)	2025-04-10 08:54:00
schon	already		2025-04-10 08:57:00
schön	beautiful		2025-04-10 09:00:00
die Ruhe	calm / peace / rest / quiet / silence / without disturbance	ich will in ruhe schlafen	2025-04-10 09:03:00
die Familie	family		2025-04-10 09:06:00
die Familien	families		2025-04-10 09:09:00
renovieren	to renovate		2025-04-10 09:12:00
der Termin	appointment		2025-04-10 09:15:00
der Anzug	suit		2025-04-10 09:18:00
nichts	nothing	pronoun	2025-04-10 09:21:00
die Strickjacke	cardigan / knitted jacket		2025-04-10 09:24:00
der Herr	gentelman		2025-04-10 09:27:00
der Knabe	boy		2025-04-10 09:30:00
welche/r/s	which / what (kind of)		2025-04-10 09:33:00
die Größe	size	welche größe haben sie?	2025-04-10 09:36:00
der Preis	price / award		2025-04-10 09:39:00
umtauschen	to exchange		2025-04-10 09:42:00
der Demonstrativartikel	demonstrative article	dieser diese dieses diese	2025-04-11 07:09:00
der Imperativ	imperative (command form)	imparator, imperativus: command, empire. mach! macht! machen sie! (bitte)	2025-04-11 07:12:00
die Hausaufgabe	homework	du sollst HA machen	2025-04-11 07:15:00
probieren	to try, to taste	fritz was here, told him to taste my bananenbrot, schmecken, max corrected me, probieren sie bitte	2025-04-11 18:40:00
die Idee	idea	leon putting pesto bottle to washingmachine for carrying coffee to go, greatish gute idee	2025-04-12 16:55:00
der Atze	old guy who parties	max said mein atze, close male friend	2025-04-12 18:15:00
am entspannen sein	being in a relaxing 	sirins usage of entspannen - Ich bin am entspannen 	2025-04-12 18:43:00
Man versteht dich 	people understand you	sirin told me i have nice deutsch	2025-04-12 19:00:41
WG-Treffen	flatshare meeting	asked sirin WG-Besprechung	2025-04-12 22:49:00
großzügig	generaous	ellas vater	2025-04-13 10:59:46
gammeln	to laze around	jonathan - to rot to chill be lazy slang	2025-04-13 19:19:00
das Ordnungsamt	police but less cool	ppl that give u parking tickets, noise complaints	2025-04-13 20:39:00
der Applaus	clap / applause	we were in the kitchen, people sang along to this song	2025-04-13 20:42:00
die Qualität	quality		2025-04-14 08:00:00
das Geschäft	shop		2025-04-14 08:46:00
die WG-Mitbewohner*innen	flatmates	meine WG-Mitbewohner*innen sind super nett	2025-04-14 09:00:00
die Wohngemeinschaft	shared flat	WG , wohn: living , gemeinschaft: community 	2025-04-14 09:03:00
frühstücken	to have breakfast	früh: early , stück: piece	2025-04-14 09:06:00
das Wohnzimmer	living room	im	2025-04-14 09:09:00
die Universität	university	zur	2025-04-14 09:12:00
Deutsch	german (language)		2025-04-14 09:15:00
das Tagebuch	diary / journal	day book	2025-04-14 09:18:00
verdammt	damn / freaking / effing	strong intensifier	2025-04-14 09:21:00
die Tagesschau	news	day show	2025-04-14 09:24:00
sehr	alot	ich mag freiburg sehr	2025-04-14 09:27:00
glauben	to believe		2025-04-14 09:30:00
unglaublich	unbelivable		2025-04-14 09:33:00
selbstverständlich	of course / naturally	self-understandable , verstehen -> verständlich	2025-04-14 09:36:00
lernen	to learn / to study		2025-04-14 09:39:00
Die Schüssel	Bowl	leonie commented on my bowl	2025-04-14 09:42:00
der Test	test		2025-04-14 14:34:00
su goy	japanase sick	su goy max!	2025-04-14 14:37:00
das Restaurant	restaurant		2025-04-15 09:33:11
die Reservierung	reservation		2025-04-15 09:36:11
die Bedienung	staff		2025-04-15 09:39:11
der Kellner	waiter		2025-04-15 09:42:11
die Kellnerin	waitress		2025-04-15 09:45:11
die Personen	people		2025-04-15 09:48:11
die Speisekarte	menu		2025-04-15 09:51:11
etwas	something		2025-04-15 09:54:11
Entschuldigung	excuse me	ent-schuld-igung , schuld: guilt fault debt , ent: removal release undoing , igung: suffix that nominalizes verbs forming abstract nouns , schuldic: guilty	2025-04-15 09:57:11
das Wasser	water		2025-04-15 10:00:11
das Sprudelwasser	sparkling water	sprudel: sparkle fizz bubble	2025-04-15 10:03:11
das Schnitzel	schnitzel	a small slice, a thin cutlet	2025-04-15 10:06:11
die Pommes	french fries	pommes frites , pommes de terre , french for potatoes , frites french for fried	2025-04-15 10:09:11
die Bratwurst	sausage for grilling	brat: from braten to fry roast grill 	2025-04-15 10:12:11
die Wurst	sausage		2025-04-15 10:15:11
der Senf	mustard		2025-04-15 10:18:11
vegetarische	vegetarian		2025-04-15 10:21:11
das Gericht	dish	die Gerichte	2025-04-15 10:24:11
die Glutenallergie	gluten allergy		2025-04-15 10:27:11
glutenfrei	gluten free		2025-04-15 10:30:11
Guten Appetit!	Enjoy your meal! / Bon appétit!		2025-04-15 10:33:11
die Rechnung	bill / check	from rechen: to calculate	2025-04-15 10:36:11
das Trinkgeld	tip	drink money lol	2025-04-15 10:39:11
die Milchallergie	milk allergy		2025-04-15 10:42:11
prima	great / super / very good		2025-04-15 14:19:40
toll	great / amazing / awesome		2025-04-15 14:22:40
freut mich	makes me happy		2025-04-15 14:28:00
Wie läuft‘s bei dir?	hows it going with you?		2025-04-15 14:31:00
ganz	quite / pretty / totally / whole		2025-04-15 14:34:00
die Kassierin	female cashier	told sirin im missing my ground beef	2025-04-15 17:50:00
der Spaß	fun		2025-04-15 19:53:00
beliebt	popular		2025-04-15 19:56:00
das Oktoberfest	october festival		2025-04-15 19:59:00
die Fachschaft	all the students that study in the faculty	leandar	2025-04-16 14:30:00
die Waage	scale	ege mensa	2025-04-17 10:55:00
die Luft	air		2025-04-17 17:25:00
der Schuss	shot (gun)	die Schüsse	2025-04-17 17:28:00
hoffen	to hope	Ich hoffe, alles läuft gut bei dir	2025-04-18 07:09:00
die Hoffnung	hope		2025-04-18 07:10:00
hoffentlich	hopefully		2025-04-18 07:11:00
denken	to think	ich dachte, es wäre eine coole Idee, dir einen Brief zu schreiben, um mein Deutsch und meine Schreibfähigkeiten zu üben	2025-04-18 07:15:00
der Brief	letter		2025-04-18 07:20:00
die Schreibfähigkeiten	writing skills		2025-04-18 07:22:00
üben	to practice		2025-04-18 07:25:00
versuche	to try	Ich versuche, jeden Tag Deutsch zu lernen	2025-04-18 07:27:00
Deutschkenntnisse	knowledge of German	meine Deutschkenntnisse reichen bei weitem noch nicht aus, um einen Brief zu schreiben	2025-04-18 07:40:00
die Kenntnis	knowledge		2025-04-18 07:44:00
ausreichen	to be sufficent / to be enough		2025-04-18 07:47:00
um … zu	in order to		2025-04-18 07:50:00
kennen	to know smth/sm1	ich kenne noch sehr viel Grammatik nicht	2025-04-18 07:53:00
die Grammatik	grammar		2025-04-18 07:56:00
bekommen	to get/receive smth	Also bekomme ich Hilfe von ChatGPT – wir feilen gemeinsam an jedem Satz, bis er den Vibe-Check besteht	2025-04-18 08:00:00
die Hilfe	help		2025-04-18 08:03:00
feilen	to file / polish / refine		2025-04-18 08:06:00
gemeinsam	together / jointly		2025-04-18 08:09:00
der Satz	sentence / phrase		2025-04-18 08:12:00
bestehen	to pass smth / to insist on / to consist of / to exist		2025-04-18 08:15:00
zurückschreiben	to write back	Ich würde es total verstehen, wenn du nicht zurückschreibst – aber ich würde mich sehr freuen, von dir zu hören	2025-04-18 08:18:00
freuen	to be happy / to look forward to / to be glad		2025-04-18 08:21:00
hören	to hear / to listen		2025-04-18 08:24:00
letzen	last / previous	Also, was ich in der letzten Woche so gemacht habe…	2025-04-18 08:27:00
die Woche	week		2025-04-18 08:30:00
seitdem	since (then)/(that time)	Seitdem wir das letzte Mal gesprochen haben – das war am Sonntag, direkt nachdem du deinen Vater weggebracht hast und ich gerade vom Joggen zurückkam	2025-04-18 08:33:00
direkt	directly		2025-04-18 08:36:00
nachdem	after		2025-04-18 08:39:00
der Vater	fahter		2025-04-18 08:42:00
wegbringen	to drop off		2025-04-18 08:45:00
gerade	just / right now / straight / even (numbers)		2025-04-18 08:48:00
das Joggen	jogging (the activity)		2025-04-18 08:51:00
zurückkommen	to come back / to return		2025-04-18 08:54:00
vergehen	to pass / to go by		2025-04-18 08:57:00
die Wandertour	hiking trip	An dem Tag sind meine WG-Mitbewohner*innen von einer sechstägigen Wandertour zurückgekommen	2025-04-18 09:00:00
wissen	to know	Ich weiß es nicht genau	2025-04-18 09:03:00
das Bier	beer	An dem Abend haben wir ein paar Bier getrunken und ein paar Spiele im Wohnzimmer gespielt	2025-04-18 09:06:00
trinken	to drink		2025-04-18 09:09:00
das Spiel	game		2025-04-18 09:12:00
spielen	to play		2025-04-18 09:15:00
heißen	to be called	Das Spiel heißt „Top 10“	2025-04-18 09:18:00
insgesamt	in total / altogether	Ich habe insgesamt fünf Bier getrunken	2025-04-18 09:21:00
schön	beautiful / nice	Es war ein schöner und verbindender Abend	2025-04-18 09:24:00
verbindend	connecting / bonding		2025-04-18 09:27:00
nächste	next	Am nächsten Morgen habe ich angefangen, die Biografie von Elon Musk zu lesen – von Walter Isaacson	2025-04-18 09:30:00
anfangen	to begin / to start	fängst..an	2025-04-18 09:33:00
die Biografie	biography		2025-04-18 09:36:00
lesen	to read		2025-04-18 09:39:00
fleißig	diligently / hard-working	Ich lerne fleißig Deutsch und sammle jeden Tag neue Wörter	2025-04-18 09:42:00
sammeln	to collect / to gather		2025-04-18 09:45:00
die App	app / mobile application	Und wie du ja weißt, habe ich meine App im App Store veröffentlicht	2025-04-18 09:48:00
veröffentlichen	to publish / to release		2025-04-18 09:51:00
die Reise	trip	Ich habe mit meinen Eltern gefacetimed – sie machen eine zweiwöchige Reise nach China	2025-04-18 09:54:00
ansonsten	other that that / apart from that / otherwise	Ansonsten habe ich meine E-Mails gelesen und beantwortet.	2025-04-18 09:57:00
lecker	delicious / tasty / yummy	Ich hatte echt leckeres Essen (nicht vegan-freundlich, tut mir leid)	2025-04-18 10:00:00
veganfreundlich	vegan-friendly		2025-04-18 10:03:00
das Leid	sorrow / suffering / pain / harm		2025-04-18 10:06:00
planen	to plan	In den nächsten Tagen plane ich aufzuräumen und mich auf das nächste Semester vorzubereiten	2025-04-18 10:09:00
aufräumen	to tidy up / to clean up		2025-04-18 10:12:00
das Semester	semester		2025-04-18 10:15:00
vorbereiten	to prepare		2025-04-18 10:18:00
dass	that	Ich hoffe wirklich sehr, dass ich eines Tages so gut bin, dass ich so einen Brief einfach aus dem Kopf schreiben kann	2025-04-18 10:21:00
herausfordernd	challenging	Es war eine richtig schöne und herausfordernde Übung	2025-04-18 10:24:00
die Übung	exercise / practice		2025-04-18 10:27:00
das Leben	life	Wie läuft dein Leben gerade?	2025-04-18 10:30:00
ernst	serious(ly)	Ich meine es ernst. Was machst du so?	2025-04-18 10:33:00
die Herausforderung	challenge	Mit welchen Herausforderungen hast du zu tun?	2025-04-18 10:36:00
bald	soon	Ich hoffe, wir sehen uns bald wieder	2025-04-18 10:39:00
aufrichtig	sincere(ly)		2025-04-18 10:42:00
jemand	someone / anyone	Ich glaube, ich habe noch nie jemandem einen Brief geschrieben	2025-04-18 10:45:00
vielleicht	maybe / perhaps	Vielleicht war dieser Brief zu lang, vielleicht auch nicht.	2025-04-18 10:48:00
lang	long	länger 	2025-04-18 10:51:00
kurz	short	Es tut mir leid, falls doch – ich habe das Gefühl, ich hätte mich kürzer fassen sollen	2025-04-18 10:54:00
heute	today	Ich war heute zum ersten Mal im Westbad schwimmen – war echt cool!	2025-04-18 10:57:00
schwimmen	to swim		2025-04-18 11:00:00
ich gehe mal kurz auf’s Klo	going to the bathroom real quick	watching discounter with ella 	2025-04-18 11:03:00
das Handy	cell phone		2025-04-19 11:46:16
die Leute	people		2025-04-19 11:49:16
der Inhalt	content / icindekiler		2025-04-19 22:00:43
das Vorwort	foreword		2025-04-19 22:03:43
der Teil	part	die Teile	2025-04-19 22:06:43
wichtig	important	wiegen: to weigh , gewicht: weight , wichtig implies something with weight or significance , hannes - Das sind die wichtigsten Wörter	2025-04-19 22:09:43
verrückt	crazy / insane / mad	someone whose mind is „out of place“ , verrücken: to displace, to move out of place , hannes - Zurück fahren wäre verrückt	2025-04-19 22:12:43
die Zwiebel	onion	ella - layered clothing	2025-04-20 07:00:00
die Erklärung	explanation	ella - Ich danke dir für die Erklärung	2025-04-20 07:03:00
beeindruckend	impressive	ellas handstand	2025-04-20 07:06:00
der Handstand	handstand	ellas Handstand ist beeindruckend	2025-04-20 07:09:00
die Berufsorientierungskompetenz	career orientation competencies	ann sophie kurs	2025-04-20 18:29:21
steilst	steep	ella , steepest smth, trainride? in germany?	2025-04-21 07:26:00
Himmelreich	heavenly kingdom / kingdom of heaven	trainstation mit ella , himmel: sky / heaven , reich: kingdom / empire	2025-04-21 07:26:37
Höllental	hell valley	trainstation mit ella , we changed seats and she let me see the valley , hölle: hell , tal: valley	2025-04-21 07:29:37
die Ziphose	zioper	ella	2025-04-21 07:30:00
